令和６年,社会福祉施設等調査　　令和６年１０月１日,,
第１表　（基本票）社会福祉施設等数，国－都道府県、施設の種類・経営主体の公営－私営別
　　　
,総数,総数,総数,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,女性自立支援施設,女性自立支援施設,女性自立支援施設,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等
,,,,総数,総数,総数,0010救護施設,0010救護施設,0010救護施設,0020更生施設,0020更生施設,0020更生施設,0030医療保護施設,0030医療保護施設,0030医療保護施設,0040授産施設,0040授産施設,0040授産施設,0050宿所提供施設,0050宿所提供施設,0050宿所提供施設,総数,総数,総数,0060養護老人ホーム（一般）,0060養護老人ホーム（一般）,0060養護老人ホーム（一般）,0070養護老人ホーム（盲）,0070養護老人ホーム（盲）,0070養護老人ホーム（盲）,0080軽費老人ホームＡ型,0080軽費老人ホームＡ型,0080軽費老人ホームＡ型,0090軽費老人ホームＢ型,0090軽費老人ホームＢ型,0090軽費老人ホームＢ型,0100軽費老人ホーム（ケアハウス）,0100軽費老人ホーム（ケアハウス）,0100軽費老人ホーム（ケアハウス）,0140都市型軽費老人ホーム,0140都市型軽費老人ホーム,0140都市型軽費老人ホーム,0110老人福祉センター（特Ａ型）,0110老人福祉センター（特Ａ型）,0110老人福祉センター（特Ａ型）,0120老人福祉センター（Ａ型）,0120老人福祉センター（Ａ型）,0120老人福祉センター（Ａ型）,0130老人福祉センター（Ｂ型）,0130老人福祉センター（Ｂ型）,0130老人福祉センター（Ｂ型）,総数,総数,総数,0910障害者支援施設,0910障害者支援施設,0910障害者支援施設,0920地域活動支援センター,0920地域活動支援センター,0920地域活動支援センター,0930福祉ホーム,0930福祉ホーム,0930福祉ホーム,総数,総数,総数,0270身体障害者福祉センター（Ａ型）,0270身体障害者福祉センター（Ａ型）,0270身体障害者福祉センター（Ａ型）,0280身体障害者福祉センター（Ｂ型）,0280身体障害者福祉センター（Ｂ型）,0280身体障害者福祉センター（Ｂ型）,0300障害者更生センター,0300障害者更生センター,0300障害者更生センター,0310補装具製作施設,0310補装具製作施設,0310補装具製作施設,0320盲導犬訓練施設,0320盲導犬訓練施設,0320盲導犬訓練施設,0330点字図書館,0330点字図書館,0330点字図書館,0340点字出版施設,0340点字出版施設,0340点字出版施設,0350聴覚障害者情報提供施設,0350聴覚障害者情報提供施設,0350聴覚障害者情報提供施設,総数,総数,総数,総数,総数,総数,0370助産施設,0370助産施設,0370助産施設,0380乳児院,0380乳児院,0380乳児院,0390母子生活支援施設,0390母子生活支援施設,0390母子生活支援施設,0400保育所等,0400保育所等,0400保育所等,0400保育所等,0400保育所等,0400保育所等,0400保育所等,0400保育所等,0400保育所等,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0401地域型保育事業所,0410児童養護施設,0410児童養護施設,0410児童養護施設,0950障害児入所施設（福祉型）,0950障害児入所施設（福祉型）,0950障害児入所施設（福祉型）,0960障害児入所施設（医療型）,0960障害児入所施設（医療型）,0960障害児入所施設（医療型）,0990児童発達支援センター,0990児童発達支援センター,0990児童発達支援センター,0520児童心理治療施設,0520児童心理治療施設,0520児童心理治療施設,0530児童自立支援施設,0530児童自立支援施設,0530児童自立支援施設,0540児童家庭支援センター,0540児童家庭支援センター,0540児童家庭支援センター,0620里親支援センター,0620里親支援センター,0620里親支援センター,0550小型児童館,0550小型児童館,0550小型児童館,0560児童センター,0560児童センター,0560児童センター,0570大型児童館Ａ型,0570大型児童館Ａ型,0570大型児童館Ａ型,0580大型児童館Ｂ型,0580大型児童館Ｂ型,0580大型児童館Ｂ型,0590大型児童館Ｃ型,0590大型児童館Ｃ型,0590大型児童館Ｃ型,0600その他の児童館,0600その他の児童館,0600その他の児童館,0610児童遊園,0610児童遊園,0610児童遊園,総数,総数,総数,0710母子・父子福祉センター,0710母子・父子福祉センター,0710母子・父子福祉センター,0720母子・父子休養ホーム,0720母子・父子休養ホーム,0720母子・父子休養ホーム,総数,総数,総数,0800授産施設,0800授産施設,0800授産施設,0810無料低額宿泊所,0810無料低額宿泊所,0810無料低額宿泊所,0820盲人ホーム,0820盲人ホーム,0820盲人ホーム,0840隣保館,0840隣保館,0840隣保館,0850へき地保健福祉館,0850へき地保健福祉館,0850へき地保健福祉館,0860日常生活支援住居施設,0860日常生活支援住居施設,0860日常生活支援住居施設,0900有料老人ホーム（サービス付き高齢者向け住宅以外）,0900有料老人ホーム（サービス付き高齢者向け住宅以外）,0900有料老人ホーム（サービス付き高齢者向け住宅以外）,0901有料老人ホーム（サービス付き高齢者向け住宅であるもの）,0901有料老人ホーム（サービス付き高齢者向け住宅であるもの）,0901有料老人ホーム（サービス付き高齢者向け住宅であるもの）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,総数,総数,総数,保育所型認定こども園,保育所型認定こども園,保育所型認定こども園,保育所,保育所,保育所,総数,総数,総数,小規模保育事業所Ａ型,小規模保育事業所Ａ型,小規模保育事業所Ａ型,小規模保育事業所Ｂ型,小規模保育事業所Ｂ型,小規模保育事業所Ｂ型,小規模保育事業所Ｃ型,小規模保育事業所Ｃ型,小規模保育事業所Ｃ型,家庭的保育事業所,家庭的保育事業所,家庭的保育事業所,居宅訪問型保育事業所,居宅訪問型保育事業所,居宅訪問型保育事業所,事業所内保育事業所,事業所内保育事業所,事業所内保育事業所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営,総数,公営,私営
,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所,施設・事業所
全国,78079,13227,64852,284,15,269,185,11,174,17,-,17,56,1,55,13,2,11,13,1,12,5069,724,4345,866,84,782,52,-,52,187,1,186,11,2,9,2037,7,2030,96,-,96,207,91,116,1181,339,842,432,200,232,5371,105,5266,2551,41,2510,2696,64,2632,124,-,124,315,35,280,37,5,32,115,18,97,4,-,4,14,3,11,13,-,13,72,8,64,10,-,10,50,1,49,47,23,24,40118,11244,28874,383,189,194,147,5,142,202,16,186,23511,6417,17094,1756,368,1388,21755,6049,15706,7448,107,7341,5281,46,5235,657,13,644,81,3,78,735,30,705,24,-,24,670,15,655,613,7,606,238,30,208,223,79,144,835,190,645,53,6,47,58,55,3,189,-,189,21,-,21,2404,1390,1014,1707,768,939,15,1,14,3,-,3,-,-,-,119,80,39,1949,1904,45,55,9,46,54,9,45,1,-,1,26820,1072,25748,57,26,31,640,2,638,17,-,17,1057,1004,53,36,35,1,128,-,128,18460,3,18457,6425,2,6423
国,10,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,6,6,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北海道,3997,676,3321,11,-,11,9,-,9,-,-,-,1,-,1,1,-,1,-,-,-,258,45,213,55,9,46,2,-,2,14,-,14,3,1,2,107,-,107,-,-,-,15,11,4,53,24,29,9,-,9,352,6,346,199,1,198,146,5,141,7,-,7,16,2,14,1,-,1,7,-,7,-,-,-,-,-,-,1,-,1,6,1,5,-,-,-,1,1,-,1,1,-,1528,447,1081,32,12,20,2,-,2,8,-,8,775,207,568,237,34,203,538,173,365,249,5,244,196,1,195,11,1,10,2,-,2,12,2,10,-,-,-,28,1,27,24,-,24,12,1,11,11,5,6,25,8,17,2,1,1,3,2,1,14,-,14,-,-,-,115,97,18,232,85,147,-,-,-,-,-,-,-,-,-,8,8,-,16,16,-,4,-,4,4,-,4,-,-,-,1827,175,1652,2,-,2,18,-,18,-,-,-,159,158,1,16,16,-,1,-,1,1147,-,1147,484,1,483
青森県,1065,83,982,3,-,3,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,78,24,54,9,-,9,1,-,1,2,-,2,-,-,-,25,-,25,-,-,-,11,7,4,22,10,12,8,7,1,95,4,91,57,3,54,33,1,32,5,-,5,6,-,6,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,399,55,344,5,4,1,3,-,3,2,-,2,220,-,220,38,-,38,182,-,182,14,-,14,12,-,12,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,6,-,6,8,4,4,3,2,1,16,2,14,1,-,1,1,1,-,1,-,1,1,-,1,47,3,44,32,3,29,-,-,-,-,-,-,-,-,-,-,-,-,39,36,3,-,-,-,-,-,-,-,-,-,484,-,484,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,483,-,483,-,-,-
岩手県,983,135,848,4,-,4,2,-,2,-,-,-,2,-,2,-,-,-,-,-,-,80,4,76,16,-,16,1,-,1,1,-,1,1,-,1,23,-,23,-,-,-,3,-,3,7,4,3,28,-,28,106,1,105,45,1,44,61,-,61,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,478,129,349,-,-,-,2,-,2,1,-,1,246,83,163,12,8,4,234,75,159,101,1,100,51,-,51,26,-,26,1,-,1,15,-,15,1,-,1,7,1,6,6,-,6,4,-,4,2,-,2,4,-,4,1,-,1,1,-,1,1,-,1,-,-,-,33,7,26,36,-,36,1,-,1,-,-,-,-,-,-,1,-,1,38,38,-,-,-,-,-,-,-,-,-,-,313,1,312,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,282,-,282,30,-,30
宮城県,1634,318,1316,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,86,8,78,8,-,8,1,-,1,1,-,1,-,-,-,45,-,45,-,-,-,8,4,4,22,4,18,1,-,1,107,9,98,37,-,37,66,9,57,4,-,4,8,-,8,1,-,1,4,-,4,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,1,-,1,1,-,1,1028,301,727,4,2,2,2,-,2,4,1,3,412,134,278,59,2,57,353,132,221,277,1,276,179,-,179,18,-,18,10,-,10,42,-,42,1,-,1,27,1,26,5,-,5,1,-,1,4,3,1,19,3,16,1,-,1,1,1,-,1,-,1,1,-,1,125,29,96,42,14,28,-,-,-,-,-,-,-,-,-,3,2,1,126,111,15,1,-,1,1,-,1,-,-,-,401,-,401,-,-,-,28,-,28,-,-,-,-,-,-,-,-,-,2,-,2,245,-,245,126,-,126
